,index1,bytes_frame_dl,bytes_ip_dl,bytes_hdr_dl,num_of_packets_dl,packet_size_mean_dl,packet_size_std_dl,packet_size_max_dl,packet_size_min_dl,bytes_frame_ul,bytes_ip_ul,bytes_hdr_ul,num_of_packets_ul,packet_size_mean_ul,packet_size_std_ul,packet_size_max_ul,packet_size_min_ul,Vid_pltform,Vid_pltform_ml,Vid_type,Vid_num,Vid_begin,Vid_end,time,loc,bandwidth
0,0,2570815.0,2543431.0,0.0,1956.0,1314.3225971370143,300.38370778465554,1392.0,58.0,77142.0,71122.0,0.0,430.0,179.4,317.19845303004104,1392.0,70.0,1,1,1,36,1587785734,1587785915,2,1,0
1,1,2741583.0,2712449.0,0.0,2081.0,1317.435367611725,294.3654179868219,1392.0,58.0,78403.0,72271.0,0.0,438.0,179.00228310502283,315.82439414964915,1392.0,70.0,1,1,1,36,1587785734,1587785915,2,1,0
2,2,4077708.0,4035106.0,0.0,3043.0,1340.028918830102,247.9006998144603,1392.0,58.0,85330.0,77952.0,0.0,527.0,161.91650853889942,292.00696076538617,1392.0,70.0,1,1,1,36,1587785734,1587785915,2,1,0
3,3,5023939.0,4972447.0,0.0,3678.0,1365.9431756389342,177.9167595656509,1392.0,58.0,57423.0,50549.0,0.0,491.0,116.9511201629328,208.7413196940775,1392.0,70.0,1,1,1,36,1587785734,1587785915,2,1,0
4,4,5121152.0,5069100.0,0.0,3718.0,1377.3942980096826,136.12334805112263,1392.0,58.0,35808.0,30796.0,0.0,358.0,100.02234636871508,175.49178959633298,1392.0,70.0,1,1,1,36,1587785734,1587785915,2,1,0
5,5,5868046.0,5808770.0,0.0,4234.0,1385.9343410486538,87.1793277029952,1392.0,58.0,45098.0,38406.0,0.0,478.0,94.34728033472804,151.51094214226814,1392.0,70.0,1,1,1,36,1587785734,1587785915,2,1,0
6,6,6347344.0,6283238.0,0.0,4579.0,1386.1856300502293,85.32309547359485,1392.0,58.0,53737.0,45645.0,0.0,578.0,92.97058823529412,137.91200306077528,1392.0,70.0,1,1,1,36,1587785734,1587785915,2,1,0
7,7,5795219.0,5736657.0,0.0,4183.0,1385.421706908917,91.44596675636329,1392.0,58.0,50983.0,43465.0,0.0,537.0,94.94040968342644,143.01088037360142,1392.0,70.0,1,1,1,36,1587785734,1587785915,2,1,0
8,8,5896892.0,5837294.0,0.0,4257.0,1385.222457129434,92.77836152709804,1392.0,58.0,59003.0,50729.0,0.0,591.0,99.83587140439933,141.2625274352855,1392.0,70.0,1,1,1,36,1587785734,1587785915,2,1,0
9,9,5332673.0,5278759.0,0.0,3851.0,1384.750194754609,96.24945097571975,1392.0,58.0,51717.0,43485.0,0.0,588.0,87.95408163265306,68.44519333118285,995.0,70.0,1,1,1,36,1587785734,1587785915,2,1,0
